service_id,partner_id,service_type,pop_code,sla_tier,expiry_date,annual_value_eur
S201,P1001,Colo Rack Space,DUB1,Silver,2026-10-01,28144
S202,P1002,Peering Agreement,AMS3,Bronze,2026-10-27,29910
S203,P1002,Peering Agreement,AMS3,Gold,2026-11-03,32962
S204,P1003,Colo Rack Space,DUB1,Gold,2026-12-29,46427
S205,P1004,Peering Agreement,LHR1,Bronze,2026-09-27,177367
S206,P1005,Hardware Maintenance,LHR1,Bronze,2027-02-13,163170
S207,P1006,Managed Firewall,SIN1,Gold,2027-03-07,202745
S208,P1006,Managed Firewall,SIN1,Gold,2026-11-23,118752
S209,P1007,Colo Rack Space,JFK1,Bronze,2026-12-02,134858
S210,P1008,IP Transit,SIN1,Gold,2027-01-12,177833
S211,P1008,Peering Agreement,SIN1,Gold,2026-10-05,155937
S212,P1009,Peering Agreement,AMS3,Silver,2026-10-20,106490
S213,P1010,Cross-Connect,SIN1,Silver,2026-11-28,56352
S214,P1011,Peering Agreement,JFK1,Bronze,2026-12-03,175347
S215,P1011,Colo Rack Space,JFK1,Bronze,2026-09-19,190076
S216,P1012,Colo Rack Space,DUB1,Gold,2026-10-21,84328
S217,P1012,IP Transit,DUB1,Gold,2027-03-26,160024
S218,P1013,Managed Firewall,JFK1,Silver,2027-02-18,70215
S219,P1014,Cross-Connect,AMS3,Bronze,2027-02-26,238585
S220,P1014,Managed Firewall,AMS3,Bronze,2027-01-20,80829
S221,P1015,IP Transit,AMS3,Bronze,2027-01-03,232408
S222,P1016,IP Transit,DUB1,Gold,2026-12-11,217144
S223,P1016,Cross-Connect,DUB1,Bronze,2026-11-23,57357
S224,P1017,Peering Agreement,ORD2,Bronze,2027-01-04,162038
S225,P1017,IP Transit,ORD2,Gold,2026-10-06,246501
S226,P1018,Peering Agreement,AMS3,Gold,2026-12-20,167701
S227,P1019,Hardware Maintenance,FRA2,Gold,2026-09-27,95808
S228,P9999,IP Transit,LHR1,Silver,2026-11-09,193799
S229,P9999,Cross-Connect,LHR1,Bronze,2026-10-13,107714
